Date,Open,High,Low,Close,Volume,O/C,H/C,L/C,reportedEPS,estimatedEPS,surprise,surprisePercentage,rEPS/C,estEPS/C,surEPS/C,sP/C
9/10/2014,24.5025,25.2775,24.4400,22.5047,403478400,1.08877,1.1232,1.0860,0.32,0.3075,0.0125,4.065,0.0142,0.0137,0.0006,0.1806
9/9/2014,24.7700,25.7700,24.0350,21.8340,759385200,1.13447,1.1803,1.1008,0.32,0.3075,0.0125,4.065,0.0147,0.0141,0.0006,0.1862
9/8/2014,24.8250,24.8275,24.5125,21.9165,185426800,1.13271,1.1328,1.1185,0.32,0.3075,0.0125,4.065,0.0146,0.0140,0.0006,0.1855
9/5/2014,24.7000,24.8475,24.5775,22.0524,233828000,1.12006,1.1267,1.1145,0.32,0.3075,0.0125,4.065,0.0145,0.0139,0.0006,0.1843
9/4/2014,24.7125,25.0225,24.4475,21.8630,342872000,1.13033,1.1445,1.1182,0.32,0.3075,0.0125,4.065,0.0146,0.0141,0.0006,0.1859
9/3/2014,25.7750,25.8000,24.6450,22.0457,501684000,1.16916,1.1703,1.1179,0.32,0.3075,0.0125,4.065,0.0145,0.0139,0.0006,0.1844
9/2/2014,25.7650,25.9350,25.6800,23.0172,214256000,1.11938,1.1268,1.1157,0.32,0.3075,0.0125,4.065,0.0139,0.0134,0.0005,0.1766
8/29/2014,25.7150,25.7250,25.5500,22.8390,178380000,1.12593,1.1264,1.1187,0.32,0.3075,0.0125,4.065,0.0140,0.0135,0.0005,0.1780
8/28/2014,25.3975,25.6950,25.3900,22.7833,273840000,1.11474,1.1278,1.1144,0.32,0.3075,0.0125,4.065,0.0140,0.0135,0.0005,0.1784
8/27/2014,25.2550,25.6425,25.1750,22.7565,209476000,1.10979,1.1268,1.1063,0.32,0.3075,0.0125,4.065,0.0141,0.0135,0.0005,0.1786
8/26/2014,25.3550,25.3750,25.2150,22.4802,132608000,1.12788,1.1288,1.1217,0.32,0.3075,0.0125,4.065,0.0142,0.0137,0.0006,0.1808
8/25/2014,25.4475,25.5425,25.3200,22.6251,161080000,1.12475,1.1289,1.1191,0.32,0.3075,0.0125,4.065,0.0141,0.0136,0.0006,0.1797
8/22/2014,25.0725,25.3675,25.0475,22.5760,176736000,1.11058,1.1236,1.1095,0.32,0.3075,0.0125,4.065,0.0142,0.0136,0.0006,0.1801
8/21/2014,25.1425,25.2350,25.0275,22.4111,133912000,1.12187,1.1260,1.1167,0.32,0.3075,0.0125,4.065,0.0143,0.0137,0.0006,0.1814
8/20/2014,25.1100,25.2725,24.9875,22.4089,210796000,1.12054,1.1278,1.1151,0.32,0.3075,0.0125,4.065,0.0143,0.0137,0.0006,0.1814
8/19/2014,24.8525,25.1700,24.8300,22.4000,277596000,1.10949,1.1237,1.1085,0.32,0.3075,0.0125,4.065,0.0143,0.0137,0.0006,0.1815
8/18/2014,24.6225,24.8425,24.4950,22.0948,190288000,1.11440,1.1244,1.1086,0.32,0.3075,0.0125,4.065,0.0145,0.0139,0.0006,0.1840
8/15/2014,24.4750,24.5475,24.2150,21.8318,195804000,1.12107,1.1244,1.1092,0.32,0.3075,0.0125,4.065,0.0147,0.0141,0.0006,0.1862
8/14/2014,24.3325,24.3925,24.2000,21.7249,112464000,1.12003,1.1228,1.1139,0.32,0.3075,0.0125,4.065,0.0147,0.0142,0.0006,0.1871
8/13/2014,24.0375,24.3100,24.0100,21.6669,127664000,1.10941,1.1220,1.1081,0.32,0.3075,0.0125,4.065,0.0148,0.0142,0.0006,0.1876
8/12/2014,24.0100,24.2200,23.9025,21.3840,135180000,1.12280,1.1326,1.1178,0.32,0.3075,0.0125,4.065,0.0150,0.0144,0.0006,0.1901
8/11/2014,23.8175,24.0200,23.7100,21.3884,146340000,1.11357,1.1230,1.1085,0.32,0.3075,0.0125,4.065,0.0150,0.0144,0.0006,0.1901
8/8/2014,23.5650,23.7050,23.3200,21.1099,167460000,1.11630,1.1229,1.1047,0.32,0.3075,0.0125,4.065,0.0152,0.0146,0.0006,0.1926
8/7/2014,23.7325,23.9875,23.5250,21.0520,186844000,1.12733,1.1394,1.1175,0.32,0.3075,0.0125,4.065,0.0152,0.0146,0.0006,0.1931
8/6/2014,23.6875,23.8700,23.6775,21.0542,154232000,1.12507,1.1337,1.1246,0.32,0.3075,0.0125,4.065,0.0152,0.0146,0.0006,0.1931
8/5/2014,23.8400,23.9200,23.5900,21.0897,223732000,1.13041,1.1342,1.1186,0.32,0.3075,0.0125,4.065,0.0152,0.0146,0.0006,0.1927
8/4/2014,24.0925,24.1450,23.7925,21.1939,159832000,1.13677,1.1392,1.1226,0.32,0.3075,0.0125,4.065,0.0151,0.0145,0.0006,0.1918
8/1/2014,23.7250,24.1550,23.7025,21.3136,194044000,1.11314,1.1333,1.1121,0.32,0.3075,0.0125,4.065,0.0150,0.0144,0.0006,0.1907
7/31/2014,24.2900,24.3625,23.8325,21.1961,227372000,1.14597,1.1494,1.1244,0.32,0.3075,0.0125,4.065,0.0151,0.0145,0.0006,0.1918
7/30/2014,24.6100,24.6750,24.4175,21.7615,132040000,1.13090,1.1339,1.1221,0.32,0.3075,0.0125,4.065,0.0147,0.0141,0.0006,0.1868
7/29/2014,24.8325,24.8600,24.5625,21.8125,172572000,1.13846,1.1397,1.1261,0.32,0.3075,0.0125,4.065,0.0147,0.0141,0.0006,0.1864
7/28/2014,24.4550,24.8100,24.3875,21.9543,221272000,1.11390,1.1301,1.1108,0.32,0.3075,0.0125,4.065,0.0146,0.0140,0.0006,0.1852
7/25/2014,24.2125,24.4600,24.1600,21.6550,173876000,1.11810,1.1295,1.1157,0.32,0.3075,0.0125,4.065,0.0148,0.0142,0.0006,0.1877
7/24/2014,24.2600,24.3300,24.1050,21.5131,182916000,1.12768,1.1309,1.1205,0.32,0.3075,0.0125,4.065,0.0149,0.0143,0.0006,0.1890
7/23/2014,23.8550,24.4700,23.7925,21.5486,371672000,1.10703,1.1356,1.1041,0.32,0.3075,0.0125,4.065,0.0149,0.0143,0.0006,0.1886
7/22/2014,23.6700,23.7225,23.5300,21.0010,220788000,1.12709,1.1296,1.1204,0.32,0.3075,0.0125,4.065,0.0152,0.0146,0.0006,0.1936
7/21/2014,23.7475,23.7500,23.4300,20.8280,156316000,1.14017,1.1403,1.1249,0.415,0.365,0.05,13.6986,0.0199,0.0175,0.0024,0.6577
7/18/2014,23.4050,23.6850,23.2550,20.9367,199952000,1.11789,1.1313,1.1107,0.415,0.365,0.05,13.6986,0.0198,0.0174,0.0024,0.6543
7/17/2014,23.7575,23.8200,23.1425,20.6396,229192000,1.15107,1.1541,1.1213,0.415,0.365,0.05,13.6986,0.0201,0.0177,0.0024,0.6637
